listing_id,num_reviews_sampled,avg_sentiment_score,num_reviews_total,sentiment_label
49287,30,0.8067,40,Positiv
108236,30,0.7995,222,Positiv
111140,30,0.5476,63,Positiv
159596,1,0.7652,1,Positiv
179629,30,0.7798,205,Positiv
185356,30,0.6042,120,Positiv
207702,30,0.7747,508,Positiv
227905,30,0.7552,238,Positiv
253430,30,0.7846,331,Positiv
266016,30,0.7469,459,Positiv
272934,30,0.7145,312,Positiv
288900,30,0.8821,395,Positiv
298673,30,0.7828,611,Positiv
315971,30,0.8141,519,Positiv
321192,30,0.7836,474,Positiv
343997,30,0.8523,686,Positiv
366257,30,0.7729,329,Positiv
369170,30,0.6372,58,Positiv
384727,30,0.6392,932,Positiv
391398,30,0.8883,112,Positiv
394083,30,0.7915,417,Positiv
394239,30,0.7409,198,Positiv
398966,30,0.6983,329,Positiv
408801,30,0.7441,108,Positiv
426133,30,0.7398,438,Positiv
427314,30,0.6496,104,Positiv
435402,30,0.77,497,Positiv
443685,30,0.8128,114,Positiv
455380,30,0.7191,154,Positiv
471876,30,0.7644,168,Positiv
481991,30,0.7989,150,Positiv
525845,30,0.703,92,Positiv
530580,30,0.7499,314,Positiv
532392,30,0.8038,563,Positiv
540257,30,0.8122,689,Positiv
545683,30,0.7073,37,Positiv
554494,30,0.631,368,Positiv
556908,30,0.6148,92,Positiv
568062,30,0.8191,246,Positiv
584921,30,0.7427,399,Positiv
588265,30,0.829,31,Positiv
588404,15,0.8272,15,Positiv
588488,10,0.8846,10,Positiv
592830,30,0.8479,218,Positiv
596803,30,0.734,757,Positiv
597776,30,0.828,416,Positiv
613844,30,0.8782,457,Positiv
629723,30,0.76,282,Positiv
636468,30,0.6617,693,Positiv
650064,6,0.4155,6,Positiv
650131,1,-0.6857,1,Negativ
653664,2,0.5297,2,Positiv
656013,30,0.7096,207,Positiv
661655,30,0.7736,50,Positiv
663489,2,0.8586,2,Positiv
674541,30,0.7109,130,Positiv
678283,30,0.7482,437,Positiv
683111,1,0.8316,1,Positiv
692388,29,0.786,29,Positiv
700074,4,0.3536,4,Positiv
700583,1,-0.8857,1,Negativ
701737,30,0.8601,75,Positiv
701999,30,0.8412,90,Positiv
702998,30,0.6915,437,Positiv
703547,30,0.7384,58,Positiv
704131,1,0.6372,1,Positiv
705697,30,0.8584,391,Positiv
714300,30,0.7947,344,Positiv
721753,30,0.7494,392,Positiv
725287,30,0.7986,419,Positiv
726220,30,0.7809,132,Positiv
726333,30,0.856,339,Positiv
726916,4,0.0793,4,Positiv
727016,10,0.7774,10,Positiv
727025,30,0.6833,45,Positiv
727030,21,0.7087,21,Positiv
727034,30,0.8047,142,Positiv
730950,30,0.706,444,Positiv
738380,30,0.6868,415,Positiv
738857,30,0.6536,106,Positiv
742801,30,0.7835,587,Positiv
749397,30,0.7817,86,Positiv
751667,30,0.6505,521,Positiv
754512,30,0.8209,287,Positiv
758337,30,0.8058,310,Positiv
764576,30,0.7315,861,Positiv
765157,30,0.8818,727,Positiv
774772,30,0.7856,1263,Positiv
785089,30,0.854,128,Positiv
787061,30,0.7717,83,Positiv
791871,30,0.7499,246,Positiv
796804,30,0.8811,215,Positiv
799176,30,0.7103,1258,Positiv
799340,30,0.7729,67,Positiv
799368,30,0.8103,670,Positiv
804296,30,0.6462,136,Positiv
820793,30,0.763,747,Positiv
833978,30,0.6988,200,Positiv
840208,30,0.8579,205,Positiv
848743,30,0.7889,479,Positiv
859816,8,0.8307,8,Positiv
871206,30,0.7953,61,Positiv
877681,1,0.9567,1,Positiv
879051,30,0.8216,268,Positiv
879442,30,0.6967,349,Positiv
879529,30,0.8703,62,Positiv
879620,30,0.7577,193,Positiv
879624,30,0.7398,119,Positiv
880039,24,0.8049,24,Positiv
880161,30,0.9078,73,Positiv
884409,30,0.864,470,Positiv
886055,17,0.8333,17,Positiv
887207,30,0.7871,213,Positiv
887688,6,0.8346,6,Positiv
887691,4,0.8246,4,Positiv
888610,30,0.7328,139,Positiv
891310,30,0.8396,156,Positiv
893567,30,0.8631,232,Positiv
893928,30,0.8284,478,Positiv
897891,24,0.6816,24,Positiv
898078,30,0.735,50,Positiv
