id,latitude,longitude,district_group,district,price
49287,37.39898,-5.99533,Casco Antiguo,San Lorenzo,93.0
108236,37.39685821533203,-5.99912691116333,Casco Antiguo,San Vicente,120.0
111140,37.39592361450195,-5.999317169189453,Casco Antiguo,San Vicente,89.0
179629,37.38731,-5.99095,Casco Antiguo,Santa Cruz,146.0
207702,37.38945,-5.99889,Casco Antiguo,Museo,85.0
227905,37.39299,-5.99916,Casco Antiguo,Museo,54.0
253430,37.39107,-5.99261,Casco Antiguo,Alfalfa,80.0
266016,37.38111,-5.98616,Nervión,San Bernardo,105.0
298673,37.39362,-5.99065,Casco Antiguo,"Encarnación, Regina",127.0
315971,37.39279,-6.00078,Casco Antiguo,Museo,49.0
321192,37.39236,-5.98361,Nervión,an Roque,103.0
343997,37.39022,-5.99126,Casco Antiguo,Alfalfa,104.0
369170,37.39823,-5.99243,Casco Antiguo,Feria,132.0
384727,37.38498,-5.9944,Casco Antiguo,Arenal,63.0
394083,37.38197,-5.98289,Nervión,San Bernardo,116.0
394239,37.39157,-5.99016,Casco Antiguo,Alfalfa,89.0
398966,37.39634,-5.98925,Casco Antiguo,Feria,80.0
408801,37.41041,-5.98842,Macarena,"Macarena 3 Huertas, Macarena 5",48.0
426133,37.38709,-6.00565,Triana,Triana Casco Antiguo,56.0
427314,37.38951,-5.99833,Casco Antiguo,Museo,192.0
435402,37.39564,-5.99411,Casco Antiguo,"Encarnación, Regina",475.0
443685,37.38758,-5.9993,Casco Antiguo,Arenal,82.0
455380,37.39812,-5.99138,Casco Antiguo,Feria,172.0
471876,37.38732,-5.99936,Casco Antiguo,Arenal,89.0
481991,37.39151,-5.99267,Casco Antiguo,Alfalfa,88.0
525845,37.38334,-6.00554,Triana,Triana Este,100.0
530580,37.38894,-5.98804,Casco Antiguo,San Bartolomé,140.0
532392,37.38384,-6.00532,Triana,Triana Oeste,154.0
540257,37.391967299067765,-5.991722841387391,Casco Antiguo,Alfalfa,83.0
554494,37.39057,-5.99066,Casco Antiguo,Alfalfa,68.0
556908,37.38731,-5.99894,Casco Antiguo,Arenal,83.0
568062,37.38653,-6.00589,Triana,Triana Casco Antiguo,46.0
584921,37.39089,-5.98881,Casco Antiguo,San Bartolomé,73.0
588265,37.38895,-5.99676,Casco Antiguo,Alfalfa,161.0
588404,37.38705,-5.99679,Casco Antiguo,Arenal,142.0
588488,37.38882,-5.99869,Casco Antiguo,Arenal,129.0
592830,37.39037,-5.98722,Casco Antiguo,San Bartolomé,116.0
596803,37.38649,-5.99409,Casco Antiguo,Santa Cruz,92.0
597776,37.391151428222656,-5.9893059730529785,Casco Antiguo,Alfalfa,115.0
613844,37.3912,-5.98944,Casco Antiguo,Alfalfa,136.0
629723,37.3951,-5.99294,Casco Antiguo,"Encarnación, Regina",124.0
636468,37.39106,-5.99269,Casco Antiguo,Alfalfa,126.0
650064,37.3932,-5.99997,Casco Antiguo,San Vicente,153.0
650131,37.38689,-5.99768,Casco Antiguo,Arenal,184.0
653664,37.39291,-6.0002,Casco Antiguo,Museo,153.0
656013,37.38993,-5.99421,Casco Antiguo,Alfalfa,88.0
657565,37.39195,-6.00025,Casco Antiguo,Museo,153.0
661655,37.3959,-5.98867,Casco Antiguo,Feria,176.0
663489,37.38658,-5.99757,Casco Antiguo,Arenal,184.0
664655,37.3925,-5.99805,Casco Antiguo,Museo,153.0
674541,37.39592361450195,-5.999319076538086,Casco Antiguo,San Vicente,103.0
678283,37.39042,-5.99054,Casco Antiguo,Alfalfa,94.0
683111,37.39093,-5.99297,Casco Antiguo,Alfalfa,168.0
685699,37.39133,-5.9911,Casco Antiguo,Alfalfa,168.0
692388,37.37229,-5.98297,Sur,El Porvenir,75.0
700074,37.39662,-5.98881,Casco Antiguo,Feria,133.0
700583,37.389,-5.99171,Casco Antiguo,Alfalfa,168.0
701737,37.39092,-5.99663,Casco Antiguo,Alfalfa,33.0
701999,37.38372,-6.01176,Triana,Triana Oeste,209.0
702998,37.3908,-5.98543,Casco Antiguo,Santa Catalina,62.0
703547,37.3871955871582,-6.010234832763672,Triana,Triana Oeste,110.0
704131,37.39164,-6.00022,Casco Antiguo,Museo,153.0
705697,37.37763,-6.0064,Triana,Triana Este,35.0
714300,37.39162,-5.99077,Casco Antiguo,Alfalfa,121.0
721753,37.39029,-5.98902,Casco Antiguo,Alfalfa,85.0
725287,37.381123,-6.000666,Triana,Triana Este,50.0
726220,37.39372,-6.00007,Casco Antiguo,San Vicente,75.0
726333,37.393913,-5.999925,Casco Antiguo,San Vicente,75.0
726916,37.3984,-5.98766,Casco Antiguo,San Julián,136.0
727016,37.38951,-5.99833,Casco Antiguo,Museo,90.0
727025,37.38951,-5.99833,Casco Antiguo,Museo,126.0
727030,37.38951,-5.99833,Casco Antiguo,Museo,126.0
727034,37.38951,-5.99833,Casco Antiguo,Museo,148.0
730950,37.38879,-5.9943,Casco Antiguo,Alfalfa,100.0
738380,37.40294,-5.99363,Casco Antiguo,San Gil,127.0
738857,37.40134,-5.98888,Casco Antiguo,San Gil,67.0
742801,37.38922,-5.99178,Casco Antiguo,Alfalfa,98.0
749397,37.3919,-5.98365,Nervión,an Roque,79.0
751667,37.38586,-5.99416,Casco Antiguo,Arenal,129.0
754512,37.38934,-5.9933,Casco Antiguo,Santa Cruz,147.0
758337,37.39242,-5.99218,Casco Antiguo,Alfalfa,100.0
764576,37.38949,-5.9953,Casco Antiguo,Alfalfa,130.0
765157,37.39169,-5.9927,Casco Antiguo,Alfalfa,62.0
787061,37.38617,-5.99085,Casco Antiguo,Santa Cruz,138.0
791871,37.38706,-5.99384,Casco Antiguo,Santa Cruz,98.0
795085,37.38715,-5.99696,Casco Antiguo,Arenal,184.0
796804,37.3565673828125,-5.9880900382995605,Palmera - Bellavista,"Sector Sur, La Palmera, Reina Mercedes",40.0
799340,37.40088,-5.99496,Casco Antiguo,San Gil,80.0
799368,37.39868,-5.99243,Casco Antiguo,Feria,63.0
804296,37.39107894897461,-5.993061065673828,Casco Antiguo,Alfalfa,80.0
809285,37.38719,-5.99556,Casco Antiguo,Arenal,184.0
820793,37.40747,-5.98655,Macarena,"Doctor Barraquer, G. Renfe, Policlínico",38.0
833978,37.40285,-5.97421,Macarena,"Santa María de Ordas, San Nicolas",60.0
840208,37.3875241,-5.987662,Casco Antiguo,San Bartolomé,116.0
848743,37.38716,-5.99251,Casco Antiguo,Santa Cruz,153.0
859816,37.39744567871094,-5.996975898742676,Casco Antiguo,San Lorenzo,114.0
871206,37.39623,-5.95292,San Pablo - Santa Justa,Santa Clara,270.0
877681,37.39096,-5.98487,Casco Antiguo,Santa Catalina,116.0
879051,37.39373,-5.98057,San Pablo - Santa Justa,San José Obrero,73.0
879442,37.38431,-5.98821,Casco Antiguo,Santa Cruz,50.0
879529,37.38757,-5.98234,Nervión,La Florida,76.0
879620,37.39811,-5.99612,Casco Antiguo,San Lorenzo,35.0
879624,37.39299,-5.98766,Casco Antiguo,Santa Catalina,65.0
880039,37.38951,-5.98695,Casco Antiguo,San Bartolomé,148.0
880161,37.38572692871094,-6.005395889282227,Triana,Triana Casco Antiguo,485.0
884409,37.39152,-5.99897,Casco Antiguo,Museo,308.0
887207,37.38582,-5.9951,Casco Antiguo,Arenal,140.0
888610,37.39019,-5.98516,Casco Antiguo,San Bartolomé,174.0
891310,37.3986,-5.99428,Casco Antiguo,San Lorenzo,88.0
893567,37.39949,-5.99215,Casco Antiguo,Feria,145.0
893928,37.38975,-5.98859,Casco Antiguo,San Bartolomé,200.0
897891,37.39183,-5.99306,Casco Antiguo,Alfalfa,182.0
898078,37.39188,-5.99323,Casco Antiguo,Alfalfa,180.0
898108,37.39378,-5.99374,Casco Antiguo,"Encarnación, Regina",185.0
898135,37.39196,-5.99354,Casco Antiguo,Alfalfa,150.0
898157,37.39246,-5.99172,Casco Antiguo,Alfalfa,120.0
899212,37.389442405282814,-5.985390362333478,Casco Antiguo,San Bartolomé,100.0
901012,37.40165956605578,-5.997261966523993,Casco Antiguo,San Lorenzo,92.0
901842,37.40052502822579,-5.996807296203516,Casco Antiguo,San Lorenzo,94.0
901890,37.38774,-5.99418,Casco Antiguo,Santa Cruz,115.0
901938,37.40036,-5.99703,Casco Antiguo,San Lorenzo,119.0
901976,37.39995,-5.99648,Casco Antiguo,San Lorenzo,122.0
902992,37.38292,-5.99368,Casco Antiguo,Santa Cruz,106.0
903029,37.38294,-5.99313,Casco Antiguo,Santa Cruz,129.0
903045,37.3833,-5.9929,Casco Antiguo,Santa Cruz,106.0
903380,37.40034,-5.99192,Casco Antiguo,San Gil,133.0
903396,37.39855,-5.99154,Casco Antiguo,Feria,63.0
903399,37.39855,-5.99154,Casco Antiguo,Feria,72.0
903408,37.39855,-5.99154,Casco Antiguo,Feria,59.0
903626,37.39661,-5.99399,Casco Antiguo,Feria,145.0
903791,37.400793684612445,-5.994937734230176,Casco Antiguo,San Gil,122.0
904946,37.40187,-5.99723,Casco Antiguo,San Lorenzo,122.0
904975,37.38843,-5.99762,Casco Antiguo,Arenal,155.0
904994,37.38798,-5.99743,Casco Antiguo,Arenal,142.0
905124,37.38262,-5.99389,Casco Antiguo,Santa Cruz,114.0
905127,37.38471,-5.99487,Casco Antiguo,Arenal,114.0
905130,37.38495,-5.99313,Casco Antiguo,Santa Cruz,104.0
927430,37.40014976756938,-5.995507821776458,Casco Antiguo,San Lorenzo,119.0
927456,37.40221,-5.99705,Casco Antiguo,San Lorenzo,119.0
927591,37.38413,-6.00325,Triana,Triana Casco Antiguo,100.0
930946,37.40201,-5.99499,Casco Antiguo,San Gil,119.0
931171,37.38642,-5.99871,Casco Antiguo,Arenal,148.0
931173,37.38672,-5.99926,Casco Antiguo,Arenal,142.0
